TIME,TEMPERATURE [degC],PRECIPITATION [mm/6hr],WIND SPEED [m/s],WIND DIRECTION,HUMIDITY [%],SEA-LEVEL PRESSURE [hPa]
1980041618,6.7,0,1.7,310.1,83,1014.6
1980041700,5.1,0,1.2,333.2,91.5,1014
1980041706,6.8,0,3.3,14.7,81.5,1016.3
1980041712,11.2,0,2.9,87.9,59,1016
1980041718,9.8,0,1.7,250,69.5,1017.9
1980041800,5.7,0,0.4,305,91.5,1018
1980041806,6.4,0,2,272.1,90.5,1019.7
1980041812,15.7,0,5.3,176.6,56,1017.1
1980041818,16.1,0,4.7,203.2,69.5,1017.1
1980041900,17.4,0,7.1,222.3,70,1015.8
1980041906,18.2,0,8.4,204.9,67,1015.7
1980041912,20.5,0,10.1,200,64,1011.1
1980041918,18.4,7.2,6.7,200,83,1009.6
1980042000,13.7,13.7,5.1,88.1,91.5,1010.4
1980042006,10.9,0,1.1,225,76.5,1013.6
1980042012,19.9,0,5.8,273.4,25,1007.7
1980042018,16.7,0,4.7,303.8,25,1010.6
1980042100,10,0,2.5,320,29.5,1012.7
1980042106,9.4,0,5,307.1,30,1014.1
1980042112,16,0,3.4,244.8,32.5,1010.5
1980042118,16.4,0,2.9,286.9,35,1012
1980042200,11.8,0,3.9,329.8,34,1013.4
1980042206,10.1,0,3.5,0.2,38,1015.1
1980042212,16.5,0,4.7,139.1,32,1013.1
1980042218,12.9,0,2.3,206.5,60.5,1012.6
1980042300,9.2,0,1.2,2.9,71.5,1013.3
1980042306,9.6,0,5.3,298.5,45,1016.3
1980042312,15.6,0,6.4,323.3,30,1014.5
1980042318,13.5,0,3.1,326.6,30,1016.6
1980042400,7.9,0,2.8,330,41.5,1018.9
1980042406,8.6,0,2.3,348.1,48,1019.8
1980042412,14.6,0,3.8,136.9,37,1017.6
1980042418,13.2,0,2.7,310.6,53.5,1019.5
1980042500,9.9,0,3.1,320,44,1020.8
1980042506,10.4,0,2.3,8,44,1022.4
1980042512,15.6,0,5.2,81.3,38.5,1021.2
1980042518,12.9,0,1.8,218.1,59,1022.3
1980042600,7.4,0,0.7,330.7,83,1023.5
1980042606,11.5,0,3.8,336.4,47.5,1024
1980042612,18.8,0,4.9,150,30,1021.9
1980042618,14.6,0,1.1,70,52.5,1022.1
1980042700,11.6,0,0.6,48.1,75,1018.9
1980042706,11.4,13.1,2.5,48.1,91.5,1013.3
1980042712,11.4,24.5,4.7,60,95,1006.1
1980042718,10.3,0,2.3,42.3,86,1013.1
1980042800,9.6,0,0.5,312.6,86.5,1015.9
1980042806,9.9,0,1,140,87,1017.3
1980042812,15.5,0,3.5,140,67,1015.8
1980042818,13.6,0,1,112.5,77,1017.2
1980042900,9.1,0,0.4,112.5,93.5,1017.6
1980042906,9.4,0,1.3,112.5,95.5,1017.2
1980042912,18.4,0,5.1,140,57,1015
1980042918,15.1,0,1.8,148.9,63.5,1014.6
1980043000,11.9,0,0.3,7.5,85,1012.6
1980043006,12.1,0,1,90.8,83.5,1012.7
1980043012,20.5,0,4.2,140,48,1010.4
1980043018,16.7,0,1.8,68.7,57,1011.8
1980050100,13.9,0,2.7,50,43.5,1014.4
1980050106,13.4,0,1.7,103.8,61,1019.7
1980050112,18.5,0,4.8,135.1,45.5,1019.5
1980050118,14.6,0,1.8,196.8,65.5,1020.3
1980050200,9.5,0,0.3,4.3,90,1019.5
1980050206,11.1,0,0.9,117.5,76.5,1018.4
1980050212,22,0,5.6,219.1,29.5,1015.4
1980050218,20.5,0,4,230,46,1015.4
1980050300,16.8,0,1.4,203.4,80,1015
1980050306,16,0,1,77.9,84.5,1014.2
1980050312,21.1,0,3.9,159,63,1012.2
1980050318,20,0,2.4,151.3,67.5,1012
1980050400,18.1,0.6,1.8,282.5,80.5,1009.6
1980050406,18.6,0.1,3,191.2,87,1008.8
1980050412,26.8,0,4.2,63.9,27,1007.7
1980050418,21.3,0,0.8,76.5,62.5,1011.5
1980050500,18,0,1.8,31.4,31.5,1013.8
1980050506,15.8,0,1.9,221.1,42.5,1012.8
1980050512,23.9,0,5.8,215,21.5,1007.7
1980050518,21.5,0,4.6,230,26.5,1007.9
1980050600,14.4,0,5,50,30.5,1010.4
1980050606,12.4,0,4.8,50,44.5,1015.4
1980050612,18.2,0,4.9,90.9,37.5,1015.9
1980050618,14.4,0,2,98.6,53,1019.9
1980050700,9.4,0,0.5,64.4,85,1021.3
1980050706,10.2,0,1,23.2,78,1022.4
1980050712,19.2,0,4.1,150,33.5,1021
1980050718,14.8,0,1.5,103.6,59,1020.6
1980050800,9.7,0,0.7,281.3,90,1018
1980050806,10.1,0,0.3,332.1,89.5,1017.3
1980050812,14.2,1.7,1.6,222.3,79.5,1013.8
1980050818,12.6,0.7,1.2,82,90.5,1011.5
1980050900,10.9,0,1.4,66.7,85,1008.2
1980050906,13.4,0,2.2,70,73,1009.3
1980050912,20.5,0,3.4,119.9,41,1009.1
1980050918,14.9,0,1.9,43.4,75,1013.7
1980051000,11,0,1.4,61.3,85.5,1013.7
1980051006,14.5,0,3.2,145.3,58,1015.3
1980051012,26.6,0,3.8,260,28.5,1011.1
1980051018,24,0,1.4,110,46.5,1014.7
1980051100,17.5,0,3.7,58.9,51,1015.7
1980051106,27.6,0,3.6,50,31,1016.6
1980051112,28.7,0,3.7,132.2,30,1014
1980051118,24.9,0,1.6,349.5,36.5,1014.2
1980051200,16.8,0,0.9,15.8,72,1012.3
1980051206,17.5,2.6,1.9,169.7,75.5,1010.9
1980051212,15.7,27.4,4.2,140,94.5,1006.2
